airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No info,17057
Air India,2019-03-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,7817
Go Air,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No info,6722
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,13014
Jet Airways,2019-03-15,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No info,21934
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No info,12327
Indigo,2019-04-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,5644
Indigo,2019-05-15,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3419
Multiple Carriers,2019-06-15,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,9359
Air India,2019-05-27,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,7480
Indigo,2019-03-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,7295
Indigo,2019-03-21,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No info,6208
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Indigo,2019-03-09,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No info,8146
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,09:15:00,810,1.0,In-flight meal not included,11134
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,10:25:00,695,1.0,1 Long layover,31825
Air India,2019-03-27,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,6902
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Air India,2019-05-21,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8366
Air India,2019-05-09,Kolkata,Banglore,08:20:00,11:10:00,1610,2.0,No info,11222
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-06-24,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No info,13376
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No info,14189
Indigo,2019-03-21,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No info,3342
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,18:50:00,510,1.0,No info,11421
Air Asia,2019-03-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4082
